,,,General (no gender split),,,,,,Male (if gender split),,,,,,Female (if gender split),,,,,
Folate,Marker,No,What is Folate?,"Folate (vitamin B9) is essential for DNA synthesis, red blood cell production, and cell division. It's particularly critical during pregnancy.
 
 RBC folate measures your long-term stores, while serum folate reflects recent intake.",Why does it matter?,"Low folate causes anemia, elevated homocysteine, and can contribute to fatigue and cognitive issues.
 
 If you're planning pregnancy, adequate folate is non-negotiable. For everyone else, it's important for homocysteine management.",Why is an optimal level important?,"Optimal folate supports DNA repair, cell division, and keeps homocysteine in check.
 
 Folate is easily obtained from leafy greens, beans, and fortified foods—or supplements. Some people with MTHFR variants may benefit from methylated folate forms.",,,,,,,,,,,,
Magnesium,Marker,No,What is Magnesium?,"Magnesium is involved in over 300 enzymatic reactions—muscle function, nerve transmission, blood sugar control, blood pressure regulation. It's essential for energy production.
 
 Only 1% of body magnesium is in your blood, making blood tests somewhat limited.",Why does it matter?,"Deficiency is remarkably common—up to 50% of people don't get enough. Symptoms include muscle cramps, fatigue, anxiety, and poor sleep.
 
 Blood magnesium can look normal even when you're deficient.",Why is an optimal level important?,"Optimal serum magnesium (above 2.0 mg/dL) suggests adequate body stores—though this test can miss mild deficiency.
 
 Most people benefit from magnesium-rich foods (nuts, seeds, leafy greens) or supplements, especially if experiencing related symptoms.",,,,,,,,,,,,
TIBC,Marker,No,What is TIBC?,"TIBC (Total Iron Binding Capacity) measures your blood's capacity to transport iron. It reflects how much transferrin—the protein that carries iron—is available.
 
 When iron is low, your body makes more transferrin (high TIBC). When iron is high, transferrin decreases.",Why does it matter?,"TIBC helps distinguish causes of iron problems. High TIBC with low iron suggests iron deficiency. Low TIBC with high iron suggests iron overload.
 
 The Iron Utilization % gives you a clearer picture than either number alone.",Why is an optimal level important?,"Optimal TIBC in the mid-normal range (250-370 μg/dL) indicates balanced iron status—neither deficiency nor overload.
 
 TIBC is most useful interpreted alongside serum iron and ferritin for a complete iron picture.",,,,,,,,,,,,
Complete Blood Count (14 panel),Marker,No,What is a Complete Blood Count?,"A CBC measures the cells in your blood: red blood cells (carry oxygen), white blood cells (fight infection), and platelets (help clotting).
 
 It's one of the most common and informative blood tests—a window into your overall health.",Why does it matter?,"Abnormal CBC can indicate anemia, infection, immune problems, clotting disorders, or even blood cancers.
 
 Many individual markers from the CBC feed into calculated metrics like inflammation scores and biological age.",Why is an optimal level important?,"Optimal CBC values indicate healthy oxygen-carrying capacity, balanced immune function, and proper clotting ability.
 
 The CBC is foundational—it often reveals issues that other tests then investigate more specifically.",,,,,,,,,,,,
Glucose (FBS),Marker,No,What is Fasting Glucose?,"Fasting glucose measures the sugar in your blood after not eating for 8-12 hours. It's your baseline blood sugar level.
 
 Your body tightly regulates glucose because both high and low levels can cause problems.",Why does it matter?,"Elevated fasting glucose is a sign of prediabetes or diabetes. Even levels at the high end of 'normal' are associated with increased health risks.
 
 Optimal: under 90 mg/dL. Prediabetes: 100-125. Diabetes: 126+.",Why is an optimal level important?,"Optimal fasting glucose under 85 mg/dL indicates efficient insulin function and healthy blood sugar regulation.
 
 Blood sugar responds dramatically to diet and exercise—it's one of the most modifiable metabolic markers.",,,,,,,,,,,,
HbA1c,Marker,No,What is HbA1c?,"HbA1c measures the percentage of your hemoglobin (oxygen-carrying protein in red blood cells) that has sugar attached. It reflects your average blood sugar over the past 2-3 months.
 
 Unlike fasting glucose, it's not affected by what you ate yesterday.",Why does it matter?,"HbA1c is the gold standard for diagnosing and monitoring diabetes. But even in non-diabetics, it's a powerful predictor of health outcomes.
 
 Optimal: under 5.4%. Prediabetes: 5.7-6.4%. Diabetes: 6.5%+.",Why is an optimal level important?,"Optimal HbA1c under 5.3% indicates excellent average blood sugar control over the past 2-3 months.
 
 Lower HbA1c is associated with reduced risk of diabetes, heart disease, and other complications—and it responds to lifestyle changes.",,,,,,,,,,,,
Insulin,Marker,No,What is Fasting Insulin?,"Insulin is the hormone that moves sugar from your blood into your cells. Fasting insulin measures how much your pancreas needs to produce to keep blood sugar normal.
 
 High fasting insulin suggests your cells are resisting insulin's signal.",Why does it matter?,"Insulin rises years before glucose does. Catching high insulin early—insulin resistance—gives you time to reverse course before prediabetes or diabetes develops.
 
 Optimal: under 8 μIU/mL. Above 12 suggests insulin resistance.",Why is an optimal level important?,"Optimal fasting insulin under 6 μIU/mL indicates excellent insulin sensitivity—your pancreas doesn't have to work hard to maintain normal blood sugar.
 
 This is one of the earliest and most actionable metabolic markers—it responds quickly to diet and exercise changes.",,,,,,,,,,,,
Total Cholesterol,Marker,No,What is Total Cholesterol?,"Total cholesterol is the sum of all cholesterol in your blood—HDL, LDL, and other types. Cholesterol is essential for making hormones, vitamin D, and cell membranes.
 
 By itself, total cholesterol is less informative than the breakdown.",Why does it matter?,"Very high total cholesterol can indicate cardiovascular risk. Very low might suggest nutritional deficiencies or other issues.
 
 The ratio of total to HDL cholesterol (Cholesterol Risk Ratio) is more predictive than total cholesterol alone.",Why is an optimal level important?,"Optimal total cholesterol depends on the composition. A total of 220 with high HDL is different from 220 with low HDL.
 
 Focus on the ratios and component parts (LDL, HDL, triglycerides) rather than total cholesterol alone.",,,,,,,,,,,,
HDL Cholesterol,Marker,Yes,What is HDL Cholesterol?,"HDL is often called 'good' cholesterol because it helps remove excess cholesterol from your blood and arteries, carrying it back to the liver for disposal.
 
 Higher HDL is generally better—it's protective against heart disease.",Why does it matter?,"Low HDL is an independent risk factor for heart disease. It's part of the metabolic syndrome criteria.
 
 Exercise, healthy fats (especially olive oil and fatty fish), and moderate alcohol can raise HDL.",Why is an optimal level important?,"Optimal HDL (above 50-60 mg/dL) provides robust protection against arterial plaque formation.
 
 HDL is somewhat harder to raise than LDL is to lower—but exercise is particularly effective.",What is HDL Cholesterol?,"HDL is 'good' cholesterol that helps remove excess cholesterol from your blood and arteries. Men typically have lower HDL than women.
 
 Higher HDL is protective against heart disease.",Why does it matter?,"Low HDL is an independent risk factor for heart disease. For men, the minimum target is 40 mg/dL—but optimal is above 50 mg/dL.
 
 Exercise, healthy fats, and moderate alcohol can raise HDL.",Why is an optimal level important?,"For men, optimal HDL above 50 mg/dL provides significant cardiovascular protection.
 
 HDL responds particularly well to exercise—it's one of the best reasons to stay active.",What is HDL Cholesterol?,"HDL is 'good' cholesterol that helps remove excess cholesterol from your blood and arteries. Women typically have higher HDL than men—partly due to estrogen.
 
 Higher HDL is protective against heart disease.",Why does it matter?,"Low HDL is a risk factor for heart disease. For women, the minimum target is 50 mg/dL—but optimal is above 60 mg/dL.
 
 HDL may decline after menopause as estrogen decreases.",Why is an optimal level important?,"For women, optimal HDL above 60 mg/dL provides significant cardiovascular protection.
 
 Maintaining HDL through menopause is important—exercise, healthy fats, and potentially hormone therapy can help."
LDL Cholesterol,Marker,No,What is LDL Cholesterol?,"LDL is often called 'bad' cholesterol because it can deposit cholesterol in your artery walls, forming plaques that narrow blood vessels.
 
 But not all LDL is created equal—particle size matters too.",Why does it matter?,"High LDL is the primary target for cardiovascular risk reduction. Many experts now prefer ApoB as a more accurate measure of LDL particles.
 
 Optimal: under 100 mg/dL. Under 70 if you have high risk or existing heart disease.",Why is an optimal level important?,"Optimal LDL (under 100 mg/dL, or under 70 with risk factors) reduces the cholesterol available to form arterial plaques.
 
 LDL responds well to diet (reducing saturated fat, increasing fiber) and medications when needed.",,,,,,,,,,,,
Triglycerides,Marker,No,What are Triglycerides?,"Triglycerides are the most common type of fat in your blood. Your body converts excess calories—especially from carbs and alcohol—into triglycerides for storage.
 
 They're measured after fasting to get a baseline level.",Why does it matter?,"High triglycerides increase cardiovascular risk and are a key marker of metabolic dysfunction. They're often the first lipid to improve with dietary changes.
 
 Optimal: under 100 mg/dL. Above 150 is elevated. Above 500 requires treatment.",Why is an optimal level important?,"Optimal triglycerides under 80 mg/dL indicate efficient fat metabolism and low metabolic risk.
 
 Triglycerides are extremely responsive to reducing refined carbohydrates, sugar, and alcohol—often improving dramatically within weeks.",,,,,,,,,,,,
ALT,Marker,Yes,What is ALT?,"ALT (alanine aminotransferase) is an enzyme found mainly in your liver. When liver cells are damaged, ALT leaks into your blood.
 
 It's one of the most specific markers for liver health.",Why does it matter?,"Elevated ALT indicates liver stress—from fatty liver, hepatitis, medications, or other causes. Even levels at the high end of 'normal' may indicate early fatty liver.
 
 Optimal: under 25 U/L for men, under 19 U/L for women (stricter than standard ranges).",Why is an optimal level important?,"Optimal ALT in the lower portion of normal indicates healthy liver cells without ongoing damage.
 
 ALT often improves quickly with lifestyle changes—reducing alcohol, losing weight, and improving diet.",What is ALT?,"ALT (alanine aminotransferase) is an enzyme found mainly in your liver. When liver cells are damaged, ALT leaks into your blood.
 
 Men typically have slightly higher ALT than women.",Why does it matter?,"Elevated ALT indicates liver stress. For men, the standard 'normal' range goes up to 56 U/L, but optimal is under 25 U/L.
 
 Even levels in the 30s may indicate early fatty liver disease.",Why is an optimal level important?,"For men, optimal ALT under 25 U/L indicates healthy liver tissue without significant fat accumulation or damage.
 
 ALT responds well to reducing alcohol, losing excess weight, and addressing fatty liver.",What is ALT?,"ALT (alanine aminotransferase) is an enzyme found mainly in your liver. When liver cells are damaged, ALT leaks into your blood.
 
 Women typically have lower ALT than men.",Why does it matter?,"Elevated ALT indicates liver stress. For women, the standard 'normal' range goes up to 40 U/L, but optimal is under 19 U/L.
 
 Even levels in the 20s may warrant attention.",Why is an optimal level important?,"For women, optimal ALT under 19 U/L indicates healthy liver tissue without significant fat accumulation or damage.
 
 ALT responds well to lifestyle changes—weight management, reducing alcohol, and improving diet."
AST,Marker,No,What is AST?,"AST (aspartate aminotransferase) is an enzyme found in your liver, heart, and muscles. When these tissues are damaged, AST leaks into your blood.
 
 Because it's not specific to the liver, it's usually interpreted alongside ALT.",Why does it matter?,"Elevated AST with elevated ALT usually indicates liver problems. Elevated AST with normal ALT might be from muscle damage, intense exercise, or heart issues.
 
 The AST/ALT ratio (Liver Health Ratio) helps distinguish different causes.",Why is an optimal level important?,"Optimal AST in the lower-normal range indicates healthy liver, muscle, and heart tissue.
 
 If AST is elevated but ALT is normal, consider recent strenuous exercise as a possible cause before assuming liver problems.",,,,,,,,,,,,
Creatinine (eGFR),Marker,Yes,What is Creatinine?,"Creatinine is a waste product from muscle metabolism. Your kidneys filter it out at a steady rate, making it a reliable marker of kidney function.
 
 eGFR (estimated glomerular filtration rate) converts creatinine into an estimate of how well your kidneys are filtering.",Why does it matter?,"High creatinine/low eGFR suggests your kidneys aren't filtering well. This can be from kidney disease, dehydration, or certain medications.
 
 eGFR above 90 is normal. 60-89 may indicate mild kidney dysfunction. Below 60 warrants investigation.",Why is an optimal level important?,"Optimal eGFR above 90 mL/min indicates your kidneys are efficiently filtering waste from your blood.
 
 Protecting kidney function is important—staying hydrated, managing blood pressure, and avoiding nephrotoxic medications helps preserve kidney health.",What is Creatinine?,"Creatinine is a waste product from muscle metabolism. Men typically have higher creatinine than women due to greater muscle mass.
 
 eGFR adjusts for this, giving a standardized measure of kidney function.",Why does it matter?,"For men, higher creatinine is expected due to muscle mass. eGFR above 90 is normal. Below 60 indicates significant kidney dysfunction.
 
 Muscle-building supplements containing creatine can raise creatinine without affecting actual kidney function.",Why is an optimal level important?,"For men, optimal eGFR above 90 mL/min indicates healthy kidney filtration.
 
 Stay hydrated, manage blood pressure, and be cautious with supplements and medications that can affect kidney function.",What is Creatinine?,"Creatinine is a waste product from muscle metabolism. Women typically have lower creatinine than men due to less muscle mass.
 
 eGFR adjusts for this, giving a standardized measure of kidney function.",Why does it matter?,"For women, even mildly elevated creatinine may be significant. eGFR above 90 is normal. Below 60 indicates significant kidney dysfunction.
 
 eGFR naturally declines somewhat with age.",Why is an optimal level important?,"For women, optimal eGFR above 90 mL/min indicates healthy kidney filtration.
 
 Protecting kidney function is especially important with age—stay hydrated and manage blood pressure."
CRP (high sensitive),Marker,No,What is hs-CRP?,"High-sensitivity CRP (C-reactive protein) is made by your liver in response to inflammation. It's a general marker of inflammation anywhere in your body.
 
 The 'high-sensitivity' version can detect lower levels, important for cardiovascular risk assessment.",Why does it matter?,"Elevated hs-CRP is associated with cardiovascular disease, diabetes, and other chronic conditions. It's an independent risk factor for heart disease.
 
 Optimal: under 1.0 mg/L. 1-3 is average risk. Above 3 is elevated risk (unless you have an acute infection).",Why is an optimal level important?,"Optimal hs-CRP under 0.5 mg/L indicates minimal systemic inflammation and lower cardiovascular risk.
 
 CRP responds to lifestyle factors—weight loss, exercise, omega-3s, and reducing sugar can all lower it.",,,,,,,,,,,,
Cortisol,Marker,No,What is Cortisol?,"Cortisol is your body's main stress hormone, produced by your adrenal glands. It follows a daily rhythm—highest in the morning, lowest at night.
 
 It helps regulate metabolism, immune function, and the stress response.",Why does it matter?,"High cortisol can indicate chronic stress, Cushing's syndrome, or just a stressful morning. Low cortisol might suggest adrenal insufficiency.
 
 Timing matters—morning cortisol should be measured within an hour of waking for accurate interpretation.",Why is an optimal level important?,"Optimal morning cortisol indicates healthy adrenal function and appropriate stress response capability.
 
 Chronic elevation from ongoing stress can be addressed through stress management, sleep optimization, and sometimes adaptogenic supplements.",,,,,,,,,,,,
Iron,Marker,Yes,What is Serum Iron?,"Serum iron measures the amount of iron circulating in your blood. Iron is essential for carrying oxygen in red blood cells and for energy production.
 
 Serum iron fluctuates daily and after meals, so it's usually interpreted with other iron markers.",Why does it matter?,"Low iron can cause fatigue, weakness, and anemia. High iron (iron overload) can damage organs over time.
 
 Serum iron alone isn't enough—you need ferritin and TIBC to understand your full iron status.",Why is an optimal level important?,"Optimal serum iron indicates adequate iron for oxygen transport and energy production.
 
 Interpret iron alongside ferritin and TIBC for the complete picture—all three together reveal whether you're deficient, optimal, or overloaded.",What is Serum Iron?,"Serum iron measures the iron circulating in your blood. Men typically have higher iron stores than women (no monthly iron loss through menstruation).
 
 Iron is essential for oxygen transport and energy production.",Why does it matter?,"Low iron causes fatigue and anemia. But men are more at risk for iron overload—a condition that causes organ damage over time.
 
 Men with high iron should be screened for hemochromatosis (genetic iron overload).",Why is an optimal level important?,"For men, optimal iron supports energy without risking iron overload. Ferritin is a better marker of stores.
 
 If ferritin is high (above 300 ng/mL), investigate further—hemochromatosis is common and treatable.",What is Serum Iron?,"Serum iron measures the iron circulating in your blood. Women of reproductive age are more prone to iron deficiency due to menstrual blood loss.
 
 Iron is essential for oxygen transport and energy production.",Why does it matter?,"Low iron is one of the most common causes of fatigue in women. Heavy periods increase the risk.
 
 Iron needs change with menstrual status, pregnancy, and menopause.",Why is an optimal level important?,"For women, optimal iron prevents the fatigue and other symptoms of deficiency that are so common.
 
 If periods are heavy, proactive iron monitoring and supplementation may be needed to maintain optimal levels."
Ferritin,Marker,Yes,What is Ferritin?,"Ferritin is your body's iron storage protein. It reflects how much iron you have in reserve—your body's iron bank account.
 
 It's the most useful single marker for assessing iron status.",Why does it matter?,"Low ferritin causes fatigue and eventually anemia—often before other iron markers change. High ferritin can indicate iron overload or inflammation.
 
 Optimal: 50-150 ng/mL for most people. Athletes and menstruating women may need higher levels.",Why is an optimal level important?,"Optimal ferritin ensures adequate iron reserves for energy, exercise recovery, and immune function.
 
 Low ferritin is easily treated with iron supplements. High ferritin needs investigation—it could be inflammation or iron overload.",What is Ferritin?,"Ferritin is your body's iron storage protein. Men typically have higher ferritin than women and rarely become deficient without blood loss.
 
 It's the best single marker for iron status.",Why does it matter?,"For men, the bigger concern is often iron overload, not deficiency. Ferritin above 300 ng/mL warrants investigation for hemochromatosis.
 
 Optimal for men: 50-150 ng/mL. Low ferritin causes fatigue; high ferritin can damage organs.",Why is an optimal level important?,"For men, optimal ferritin (50-150 ng/mL) supports energy without risking iron overload.
 
 If ferritin is high, genetic testing for hemochromatosis is reasonable—it's common (1 in 200 people) and very treatable with regular blood donation.",What is Ferritin?,"Ferritin is your body's iron storage protein. Women of reproductive age commonly have low ferritin due to menstrual blood loss.
 
 It's the most useful marker for iron status.",Why does it matter?,"Low ferritin is extremely common in women and causes fatigue, hair loss, poor exercise tolerance, and eventually anemia.
 
 Optimal for women: 50-150 ng/mL. Many women function best above 70 ng/mL.",Why is an optimal level important?,"For women, optimal ferritin (50-150 ng/mL) supports energy, hair health, exercise performance, and overall vitality.
 
 If periods are heavy or you're experiencing fatigue or hair loss, checking and optimizing ferritin often helps dramatically."
Vitamin D,Marker,No,What is Vitamin D?,"Vitamin D is actually a hormone that your skin produces from sunlight. It's essential for bone health, immune function, mood, and much more.
 
 Deficiency is extremely common, especially in places where people avoid sun exposure.",Why does it matter?,"Low vitamin D is linked to osteoporosis, depression, immune dysfunction, and increased risk of various diseases.
 
 Optimal: 40-60 ng/mL. Many people are deficient despite living in tropical climates—indoor lifestyles and sun avoidance are common causes.",Why is an optimal level important?,"Optimal vitamin D (40-60 ng/mL) supports bone health, immune function, mood, and may reduce risk of various diseases.
 
 Most people need supplementation to reach optimal levels, especially with indoor lifestyles. Testing guides appropriate dosing.",,,,,,,,,,,,
Free Testosterone,Marker,Yes,What is Free Testosterone?,"Free testosterone is the small fraction (2-3%) of testosterone that isn't bound to proteins. It's the testosterone that's actually available for your tissues to use.
 
 The rest is bound to SHBG (tightly) or albumin (loosely).",Why does it matter?,"You can have normal total testosterone but low free testosterone—explaining symptoms despite 'normal' levels.
 
 Free testosterone is particularly useful when SHBG is abnormal, as it shows what's actually bioavailable.",Why is an optimal level important?,"Optimal free testosterone ensures adequate hormone actually reaches your tissues for its effects on energy, mood, muscle, and sexual function.
 
 If free testosterone is low despite normal total, the focus shifts to factors affecting SHBG.",What is Free Testosterone?,"Free testosterone is the 2-3% of testosterone not bound to proteins—it's what's actually available for your tissues to use.
 
 Total testosterone can look normal while free testosterone is low, especially if SHBG is elevated.",Why does it matter?,"For men, optimal free testosterone is typically 9-30 ng/dL. If you have symptoms like fatigue or low libido despite 'normal' total testosterone, low free testosterone may be the issue.
 
 Free testosterone is what your cells actually respond to.",Why is an optimal level important?,"For men, optimal free testosterone (15-25 ng/dL) ensures adequate hormone for energy, mood, muscle mass, and sexual function.
 
 If low despite normal total testosterone, addressing SHBG (through thyroid optimization, liver health, body composition) may help.",What is Free Testosterone?,"Free testosterone is the small fraction of testosterone not bound to proteins. For women, even tiny amounts of free testosterone matter for energy and libido.
 
 It represents what's actually available to your tissues.",Why does it matter?,"For women, optimal free testosterone is typically 0.3-1.9 ng/dL. Low levels can cause fatigue and low libido. High levels may indicate PCOS.
 
 It's useful when symptoms don't match total testosterone levels.",Why is an optimal level important?,"For women, optimal free testosterone supports energy, libido, and vitality without excess androgenic effects.
 
 Both low and high levels are actionable—low may respond to DHEA; high warrants PCOS evaluation."
SHBG,Marker,Yes,What is SHBG?,"SHBG (sex hormone-binding globulin) is a protein that binds testosterone and estrogen, controlling how much is 'free' and active. High SHBG means less free hormone.
 
 SHBG is produced by the liver and responds to various factors.",Why does it matter?,"High SHBG can make you functionally low in testosterone even with normal total levels. Low SHBG can mean too much free hormone.
 
 Factors that raise SHBG: aging, hyperthyroidism, low body weight. Factors that lower it: obesity, insulin resistance, hypothyroidism.",Why is an optimal level important?,"Optimal SHBG allows appropriate amounts of free hormones to reach your tissues.
 
 If SHBG is too high or low, addressing the underlying cause (thyroid, insulin resistance, body composition) often helps normalize it.",What is SHBG?,"SHBG (sex hormone-binding globulin) binds testosterone, controlling how much is 'free' and active. High SHBG means less bioavailable testosterone.
 
 SHBG increases with age, thyroid hormone, and low body weight. It decreases with obesity and insulin resistance.",Why does it matter?,"For men, high SHBG can cause low testosterone symptoms despite normal total testosterone. Normal male SHBG: 10-57 nmol/L.
 
 If SHBG is high, increasing testosterone or addressing the cause (thyroid, body composition) may help.",Why is an optimal level important?,"For men, optimal SHBG (20-40 nmol/L) allows adequate free testosterone while providing appropriate regulation.
 
 Very low SHBG (from insulin resistance) or very high SHBG both cause problems. Addressing the underlying cause is key.",What is SHBG?,"SHBG (sex hormone-binding globulin) binds both testosterone and estrogen, controlling how much is 'free' and active.
 
 Women typically have higher SHBG than men, especially on oral contraceptives or HRT.",Why does it matter?,"For women, low SHBG (from insulin resistance or PCOS) can mean too much free testosterone, causing acne and unwanted hair growth. Very high SHBG can cause low libido.
 
 Normal female SHBG: 18-144 nmol/L (varies widely).",Why is an optimal level important?,"For women, optimal SHBG maintains hormonal balance—enough free testosterone for energy and libido, but not so much that it causes androgenic symptoms.
 
 If SHBG is low (with PCOS features), improving insulin sensitivity often helps."
IGF-1,Marker,No,What is IGF-1?,"IGF-1 (insulin-like growth factor 1) is produced mainly by your liver in response to growth hormone. It's the main mediator of growth hormone's effects in your body.
 
 It influences muscle growth, bone density, and metabolism.",Why does it matter?,"Low IGF-1 can cause fatigue, muscle loss, and poor recovery. Very high IGF-1 has been linked to accelerated aging and cancer risk in some studies.
 
 The sweet spot appears to be moderate-to-optimal levels for your age—neither too low nor too high.",Why is an optimal level important?,"Optimal IGF-1 for your age supports muscle maintenance, recovery, and metabolic health without the downsides of excess growth signaling.
 
 IGF-1 responds to protein intake, sleep, and exercise. Optimization focuses on lifestyle rather than supplementation in most cases.",,,,,,,,,,,,
